ID,text,labels,am
20,@davia14 seriously! itunes puts like an entire minute as a preview so 20 seconds is nothing. AND I KNOW! it needs to be monday ASAP!,neutral,@ Davia14 በጣም ከባድ!iTunes እንደ አጠቃላይ ደቂቃ እንደ ቅድመ-እይታ እንደ ቅድመ እይታ ያበቃል.እና አውቃለሁ!ሰኞ AAP መሆን አለበት!
21,@CarlsbergSports Would the bar be showing Pittsburgh Steelers V New York Giants on Sunday night?,neutral,@Carlsberscksps እሁድ እሁድ ምሽት enssburgh steewers V ኒው ዮኒ ግዙፍ ሰዎች እያሳየ ነው?
22,"Like, ""Sweet You."" ""Happy Valentines day."" (when it's July). ""I'll meet you at the shop every Tuesday."".......",positive,"እንደ ""ጣፋጭ አንቺ""""መልካም ቫለንታይን ቀን.""(እ.ኤ.አ. ጁላይ ቀን).""እያንዳንዱ ማክሰኞ በሱቁ ውስጥ እገናኝሃለሁ."" ......."
23,Come to MTSU Football Fan Day tomorrow from 2-4 PM at Murphy Center! Meet the team for autographs and enjoy hotdogs and drinks!,positive,ነገ ከ2-5 PM PM በ Mutfopy ማእከል ውስጥ ወደ MSTU እግር ኳስ አድናቂ ቀን ይመጣሉ!ከቡድኑ ውስጥ ከቡድኖች ጋር ይገናኙ እና በሞቃት እና በመጠጫዎች ይደሰቱ!
24,Cheese curls and wine is a great bed time snack. Time for lights out before my regional day tomorrow! Haha #insidejoke #sleep #goodnight,positive,አይብ ኩርባዎች እና ወይን ታላቅ የመኝታ ጊዜ መክሰስ ነው.ነገ ከክልል ቀን በፊት መብራቶች.ሃሃ #INDEORKOUKER #ss እንቅልፍ #Godebly
25,"Yes. I'm ready for HS, college & pro. Bring it! @blueraider93: Make Monday better! We can now come home to MNF! You ready for some Football?",positive,"አዎ.ለኤች.አይ.ቪ, ኮሌጅ እና ፕሮ PE ዝግጁ ነኝ.አምጣው!@ Blowrider93: ሰኞን በተሻለ ሁኔታ ይስሩ!አሁን ወደ MNF ወደ ቤት መመለስ እንችላለን!ለአንዳንድ እግር ኳስ ዝግጁ ነዎት?"
26,We'll be at the YPAAC Blondes vs. Brunettes flag-football game tomorrow. Doors open 1pm at University of Denver -... http://t.co/ygNbXNxx,neutral,እኛ በ YAPAC ውስጥ እንሆናለን በ YARETETETS ባንዲራ እግር ኳስ ጨዋታ ነገ ነገ እንሆናለን.በሮች በዴንቨር ዩኒቨርሲቲ 1 ፒኤም ይከፍታሉ - ......c.c.co/ygyxnxnxx
27,@kelly_carlin I just got back from Hawaii on Monday and I'm feeling sick too.,negative,@kelly_carlin ከሰኞ ጋር ከሃዋይ ተመለስኩ እና እኔ ህመም ይሰማኛል.
28,"RT @spin1038: Jane Lynch hosting the Emmys this Sunday.Guest presenters: Rob Lowe, Ashton Kutcher, Melissa McCarthy & Lea Michele #emmys",neutral,RT @ SPIN1038: ጃን ሊዲየን በዚህ እሑድ.
29,"Drum stream scheduled for tomorrow postponed til NEXT Saturday on the 3rd of November. Until then, a Diablo III stream! http://t.co/S2zRVGS7",neutral,"ለዕለት ቀን ለዳተኛ ቅዳሜ ቀን በኖ November ምበር 3 ቀን ለዝግጅት ላይ ለግዥነት ተያዙ.እስከዚያ ከሆነ, የስኳር III ጅረት!http://t.co/s2Zrvgs7"
30,RT @mckennaewen: I had a chance to show off the Star Tribune's new iPad app (launching Mon) on #tptAlmanac.Take a look! http://bit.ly/nRkSVh,neutral,RT @mconnewen: የ STAT COPHANE የአዳዲስ የአይፓድ መተግበሪያን (አስጀማሪው ሰኞ) ላይ የ STAPTURE SPAD መተግበሪያን የማየት ዕድል አግኝቼ ነበር.http://bit.ly/nrsvh
31,"@MostDumbestLaws: A betrayed wife is legally allowed to kill her adulterous husband, but may only do so with her bare hands. (Hong Kong)",negative,"@Godumbles: ክህደት የተደረገለት ሚስት በህጋዊነት አመንዝራ ባልዋን እንድትገድል ተፈቅዶለታል, ግን ባሏ እጆቻቸው ብቻ ነው.(ሆንግ ኮንግ)"
32,Here's all you need to know about upcoming #lebronX drops http://t.co/yZI3i4Yh. Thursday marks two launches Blue Diamond &amp; Jade. #teamlebron,neutral,ስለ መጪው # ቀርቢሮክስ መውደቅ ማወቅ ያለብዎት እዚህ አለ http://t.co/yzy3i3yh.ሐሙስ ሁለት ሰማያዊ አልማዝ እና አዶን ያስጀምራል;ጄድ#teramimon
33,"If Tony Romo doesn't score 50 fantasy points for me tonight, I'm screwed. Wait, you're saying that's not going to happen?",negative,"ቶኒ romo ዛሬ ማታ ማታ ለእኔ 50 ቅ asy ት ነጥቦችን የማይመርጡ ከሆነ እኔ ተበላሽቼ ነበር.ይጠብቁ, አይከሰትም እያሉ ነው?"
34,So June 9th is the day. This is gonna be worse the the Galaxy Foams,negative,ስለዚህ ሰኔ 9 ቀን ነው.ይህ የከፋ ጋላክቆቹን ጋሻዎች ይሳባሉ
35,"RT @DawnChere: Looking at the set for Aladdin - great job @TerranceWilson ! Anticipating watching hundreds of kids sing, dance & act ton ...",positive,"RT @dodeCree: ለአላዲዲን ስብስብ በመመልከት - ታላቅ ስራ @terywayson!የመቶ ሕፃናትን በመዘመር, ዳንስ እና ሕጎች ቶን መዘመር እንደሚዘምሩ በመጠበቅ ላይ ..."
36,12th film at #MtnFest: Winged Seduction: Birds of Paradise. This was the sexiest movie at Banff. If you think mating birds are sexy.,positive,12 ኛ ፊልም በ #Mnfinest: ዊንዴድ የተቀመጠ ማሳያ: - የገነት ወፎች.ይህ በወሲባዊ ፊልም ውስጥ በጣም ወሲባዊ ፊልም ነበር.ማደናቀፍ ወፎች የፍትወት ነው ብለው ካመኑ.
37,$150 for George Strait in March at the Houston Rodeo?! looks like i need to start saving! :),positive,በ HUSONON Rodeo ውስጥ ለጆርጅ ስትራቴይት $ 150 ዶላር $ 150?!ማዳን መጀመር ያለብኝ ይመስላል!:)
38,Really wish i could go to Florida on Wednesday with them ..,neutral,በእውነቱ ረቡዕ ከእነሱ ጋር ወደ ፍሎሪዳ መሄድ እችል ነበር ..
39,"@carlajd1 it's great, childhood memories for me. If you like Douglas Adams you may like Terry Pratchett: satire pretending to be fantasy",positive,"@ ካርላጃድ 1 ለእኔ ትልቅ, የልጅነት ትዝታዎች ለእኔ.ዳግላስ አዳምስ ከወደዱ, tery Pretheet ን ይወዳሉ-ቅ asy ት ለመሆን አስመሳይ ነው"
40,Harry Redknapp 2nd favourite at 7/4 to be next blackburn boss!! venkys please make this happen!!!! #makeredknapparover,positive,ሃሪ Redknapp 2 ኛ የሚቀጥለው የ 7/4 የሚቀጥለው Blodbind Bolosse ለመሆን !!Invkes እባክዎን ይህንን ይከሰቱ !!!!#Mocredknodroverver
41,"my sister just sat up and asked where katie was going to sleep. she is a little too old for an imaginary friend, don't ya think?",negative,"እህቴ ተቀመጠች ኬቲ የት እንደሚተኛ ጠየቀችው.ለታመመ ጓደኛዬ ትንሽ አርጅታለች, አያስብም?"
42,@ollyofficial have you filmed Jonathan Ross yet??? Can't wait to see it on sat! :) xxx,positive,@olalloftiliffility ገና ዮናታን ሮዝ አዘጋጅተሃል ???በ SAT ላይ ለማየት መጠበቅ አልችልም!:) XXX
43,Records on the line as World Cup race resumes - Fabio Capello's Russia face Portugal in the pick of Friday's 2014 FI... http://t.co/6KNexqif,neutral,እንደ የዓለም ዋንጫ ውድድር መስመሩ በመስመር ላይ መዛግብቶች - FABI CAPELLO የቪድያ ሩሲያ ከ 201: 2014 እ.ኤ.አ. ዎ gughs ethopia Pethough http://t.co/6knexqif
44,"@neeama_jedwardx under pressure release, Eurovision, Victory album realease, 1st European Tour, Eurosong waterline, your fav pic with them",neutral,"@NESAMA_JEDRAX በግፊት, ዩሮሊን, የድል አልበም መለቀቅ, 1 ኛ የአውሮፓ ጉብኝት, የዩሮስንግ የውሃ መስመር ከእነሱ ጋር"
45,"Having family pictures done on Saturday with my 4 favorite girls! Hannah, Katie , Shan and my Tam! Can't wait! Life can't get any better!",positive,"ከ 4 ተወዳጅ ልጃገረዶች ጋር በየቀኑ ቅዳሜና ፕሮግራሞች ያሉት የቤተሰብ ሥዕሎች መኖራቸው!ሐና, ኬቲ, ሻን እና ኔም!መጠበቅ አልተቻለም!ሕይወት የተሻለ ማግኘት አይችልም!"
46,"@Mona_ElAshry ...those who killed Sadat are the reasons why Egyptians struggled in the past, and may face uncertain future ..",negative,"@Mona_eashry ... sasat የተገደሉት ግብፃውያን ከዚህ በፊት የሚታገሉበት ምክንያት ምክንያቶች ናቸው, እናም ምንም እርግጠኛ ያልሆኑ ሊሆኑ ይችላሉ."
47,"So heartbreaking that the @NHL is actually gonna cancel the Winter Classic tomorrow, must be brutal trying to divvy up $3.3 BILLION! FUCK!!",negative,"ስለዚህ @nhl በእውነቱ ነገ ለክረምት ክላሲክ ነው, የ 3.3 ቢሊዮን ዶላር ወደ መከፋፈል በጭካኔ የመሞከር አስቸጋሪ መሆን አለበት!Fuck !!"
48,54) A Bro is required to go out with his Bros on St. Paddys Day and other  Bro holidays like Halloween NYE and Desperation Day FEB 13th,neutral,54) አንድ ብሮው በሴንት ፓዲዲዎች ቀን እና እንደ ሃሎዊን NYY እና ተስፋ መቁረጥ ቀን ፌብሩዋሪ 13
49,Real test for #Bayern this weekend against the in form Bayer Leverkusen. A win at home on Sunday will go a long way towards a 15 win streak.,positive,በቅጽ ባህርይ ሌቨርኪኑ ውስጥ ለ #Bayery እውነተኛ ሙከራ.እሁድ ቀን በቤት ውስጥ ማሸነፍ ወደ 15 ድል ፍሰት ረጅም መንገድ ይሄዳል.
50,@FrankGravagna real ones are avail about a month or so b4 Mardi Gras (Day B4 Ash Wed),neutral,@Frakganvagnavagna እና እውነተኛ ሰዎች ለአንድ ወር ወይም ከዚያ ቢ.ኤስ.ዲ.ዲ.
51,"Text from my dad: ""you like Charles Dickens"" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!",positive,"ከአባቴ ""እንደ ቻርለስ ዲቲኬንስ"" 1) የአማዞን ምኞት ዝርዝሮችን እየተመለከቱ ነው (እሑድ በጣም ዘግይቷል) 2)"
52,"Economic TimesWashing hands will keep the doctor awayDAWN.comISLAMABAD, Oct 15: The World Bank's Strategic Environmental Assessment r...",neutral,"ኢኮኖሚያዊ ትግበራዎች እጅን መታጠቡ Dode.comissaalabad, ኦክቶግራፊ 15: የአለም ባንክ ስትራቴጂካዊ አካባቢያዊ ግምገማ R ..."
53,I would love to watch Vampire Diaries tonight :) and some Heroes! Great combination,positive,ዛሬ ማታ የቪምፓየር ማስታወሻዎችን ማየት እፈልጋለሁ :) እና አንዳንድ ጀግኖች!ምርጥ ጥምረት
54,"My Social Media Week starts tomorrow, kicking off with 'Socialising the Internet of Things'. Sounds intriguing. #smwldn",positive,"የእኔ ማህበራዊ ሚዲያ ሳምንት ነገ ይጀምራል, 'የነገሮችን ኢንተርኔት ቤተሰቦቻን' በማጥፋት ነው.ትኩረት የሚስብ ይመስላል.#smwldln"
55,We'll have a live webcast available for the Jon Huntsman event tomorrow at 10AM. Tune in if you can't make it! http://t.co/Gp8em82O,neutral,ነገ በጠዋቱ 10 ሰዓት የጆን ሃንቲስማን ክስተት የቀጥታ ድርጣቢያ አለን.ሊያደርጉት ካልቻሉ ያዙ!http://t.co/gp8me82O
56,The Women's Volleyball team will be playing in the Semi-Final Playoff game tomorrow at 7pm against Johnson and Wales University.,neutral,የሴቶች Vol ሊቦል ኳስ ቡድን ነገ በጆንሰን እና በዌልስ ዩኒቨርሲቲ በሚወስደው የሊሚ-የመጨረሻ የጨዋታ ጨዋታ ጨዋታ ውስጥ ይጫወታሉ.
57,@PHSamsungMobile My 4th of July song is 'Ito Ang Gusto Ko' by Francis M. (Best for Independence Day here in the PH) #GalaxyPlayTrackoftheDay,neutral,"@fhssosstobobileie 4 ኛ የጄምስ ዘፈን የእኔ 4 ኛ ""የእኔ ምርጥ 'ነው'"
58,Just realized Facebook is using Bing Maps now.. http://t.co/A6EePGh  I guess it makes sense given that they're partly owned by Microsoft.,neutral,አሁን ፌስቡክ የተረጋገጠ ነው ..
59,Top Five Holidays for side chicks. 5) President's Day 4) Day after Valentine's Day 3) Black Friday 2) April Fool's Day 1) Groundhog's day,neutral,ወደ ጎን ጫጩቶች ምርጥ አምስት በዓላት.5) የፕሬዚዳንት ቀን 4) ቀን ከቫለንታይን ቀን 3 በኋላ ከጥቁር አርብ 2) ጥቁር አርብ 2) ኤፕሪንግ የሌሉ ቀን 1)
60,I want a Windows 7 tablet for my birthday because....Windows 8 beta may land the same month...maybe.,neutral,እኔ ለልደት ቀን የዊንዶውስ 7 ጡባዊ ቦታ እፈልጋለሁ .... ዊንዶውስ 8 ቤታ በተመሳሳይ ወር ሊገኝ ይችላል ... ምናልባት.
61,"14 feb 2011 - ""Happy Valentine's Day everybody. I'm going to buy cookies and stuff myself full. -",positive,"14 ፌብሩዋሪ 2011 - ""መልካም የቫለንታይን ቀን ሁሉም ሰው. እኔ ኩኪዎችን እና ሌሎችን ሙሉ በሙሉ እወስዳለሁ. -"
62,"RT @slownessmood: Thanks to peru, china, korea, argentina, usa and brasil for help our people. THE HELP IS COMMING!!",positive,"RT @slowsmodod: ለ Per ር, ቻይና, ኮሪያ, ዩናይትድ ስቴትስ እና ግሬል ህዝባችንን ለመርዳት.የእገዛው መጓዝ ነው !!"
63,"With the amount of chocolate I've eaten today, I'll just call it Chocolate Day. And I shall have one every yea- mon- week.",neutral,ዛሬ በደረስኩበት መጠን ከገባሁበት ጊዜ ጋር የቸኮሌት ቀን እጠራዋለሁ.እና እኔ ረዳት አንድ ነገር እኖራለሁ.
64,bought tix for sat's nets game b4 prices jumpd and @ticketsnow allowd seller to reneg w/o proof the tix arent available #POORCUSTOMERSERVICE,negative,ለ SAT NOTS የጨዋታ B4 ዋጋዎች ለ SEXTENTED እና @ Rockets @ o @ Rockets tododed ን ለማደስ ያስችላቸዋል
65,"Man, I am going to change my vote based on Axl Rose's opinion said no one ever.  Politico: C'MON MAN http://t.co/dlL3JJUO",neutral,"ሰው, በአክስል ኤክስኤል አስተያየት ላይ በመመርኮዝ ድምጾቼን ለመለወጥ እሄዳለሁ.ፖሊቲክ: C'ONE ሰው ht hometh hith htp://t.co/dll3JJLOO"
66,@MMFlint you got a sweet shout out at a Jon huntsman jr speech in St. Louis Monday night. Well done!,positive,@'Mflint በጄንት ሉዊስ ሰኞ ማታ በጆን ሀደንማን ጁስ jr ንግግር ላይ አንድ ጣፋጭ ጩኸት አግኝተዋል.ጥሩ ስራ!
67,@elliegoulding do you know what time you come on tomorrow night at Santos Party House? can't wait to see/hear you!!!!,positive,@elligodinging ነገ ነገ ምሽት በሳንቶዎች ፓርቲ ቤት ውስጥ ምን ያህል እንደሚመጡ ያውቃሉ?ለማየት / ለመስማት መጠበቅ አልችልም !!!!
68,Yesterday I asked Maria where the candy was and sshes like ill get it tomorrow when all the candy is on sale #ghetto #candy,neutral,ትናንት ከረሜላዋ ያለበትን ቦታ ማሪያን ጠየቅኳት እና እሷ ልክ ከረሜላ ሁሉም ከረሜላዋ ውስጥ #GHTO #candy ላይ ነው
69,"http://t.co/LBMjaAeN  Doug Wead interviewed LIVE tonight, Wed, 10pm EDT  we have link and other video Please RETWEET #ronpaul #ronpaul2012",neutral,"http://t.co/lbmjameen Doge Woge Woge Loge Loged አብሮዎት, እሁድ, ሁለት ቪዲዮ አለን, እባክዎን እንደገና ያግኙ"
70,If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ,neutral,መሣሪያዎቼን በትክክል ማግኘት ከቻልኩ አርብ አርብ አርብ ከ 6 PM PSS ጋር ከ 6 ሴ.ሲ.ሲ. ኮሬ ጋር የቀጥታ ትርፍ እናድርግ ... http://t.co/9lvkwocyj
71,"Is that lady in the 1st scene of WANDERLUST w/ Jennifer Aniston &amp; Paul Rudd the lady from Mel's Diner? If so, I am so happy to see her.",positive,ያ እመቤት በ 1 ኛ የ Wonderster Wo / ጄኒፈር AISCON እና AMP ውስጥ ያኖታል.ጳውሎስ ከሜልዋ ሴትየዋ ሴትዋን አረፈ?ከሆነ እሷን በማየቴ በጣም ደስተኛ ነኝ.
72,Jr. Preds won 2nd game against the Columbus Flames 8-0.  Go Preds!,neutral,Jr. አስቀድሞ ተነስቷል 8-0 በኮሎምበስ ነበልባሎች ላይ 2 ኛ ጨዋታ አሸናፊ.ሂድ ይነሳል!
73,An emotionally intelligent organisation through mindfulness? Find out how with @GetSIYLI in San Fran in Dec https://t.co/B3pbUTRU pls RT!,positive,በስሜታዊነት ያለው አስተዋይ ድርጅት ነው?በሴን ፍራንክ ውስጥ @getsssiiii ውስጥ እንዴት እንደሚገኙ ይወቁ በሴ.ቲ.ቲ.
74,"@katechambers19 oh that'll be nice. Where you going? Umm think I'm going to see inbetweeners on Wednesday, otherwise free? Hannibal rising?",positive,"@ Kathentilles19 ኦው ጥሩ ይሆናል.የት ነው የምትሄደው, የምትሄጂው?Umm ረቡዕ ረቡዕ, አለበለዚያ በነጻ የማየው ያስባሉ?ሃኒባል እየወጣ ነው?"
75,@mgska55 @laromabella I wanted to smack Eli Manning for falling asleep with the rest of the team during the 2nd half on Sunday. hahahaha,negative,@ Mgska55 @Lohromabella እሁድ እሁድ እለት ውስጥ በተቀረው ቡድን ውስጥ ለመተኛት @ Magibaella ለመተኛት ፈልጌ ነበር.ሃሃሃሃሃሃ
76,Busy day with dog walks tomorrow. I love all my little odd jobs. Happy it's finally cooled off in Los Angeles.,positive,ነገ ቀን ከውሻ ጋር ተቀምጠው.ሁሉንም ትናንሽ ያልተለመዱ ስራዎች እወዳለሁ.ደስተኛ ሆኖ በሎስ አንጀለስ ውስጥ የቀዘቀዘ ነው.
77,@asajoseph So you wouldn't have regretted selling Pires after his 1st season? I think it's outlandish to base all your judgement on 1 season,negative,@asaojosho ስለዚህ ከ 1 ኛ ሰአቱ በኋላ ሽቦዎችን በመሸጥ አይቆጡም?እኔ እንደማስበው ሁሉንም ውሳኔዎችዎ በ 1 ወቅታዊ ጊዜ መሠረት ነው ብዬ አስባለሁ
78,This Friday we celebrate/mock the love of Avril and Chad. https://t.co/BzaPx4Di,positive,በዚህ ዓርብ የአኪሪ እና ቻድ ፍቅርን እናከብራለን / ያፌዝናል.https://t.co/bzapx4di
79,The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry,neutral,ህመሙ ከቢሊየን ኮድን ውስጥ በጣም ጥልቅ ነው.ነገ ከእንቅልፉ ነቅቶ ስለእሱ ይረሳል.#Orioies #stayhyngry
80,Recent conditions have allowed 226 Euclid to hold open tryouts for the Iditarod. Registration is tomorrow at noon.,neutral,የቅርብ ጊዜ ሁኔታዎች ለ IDITHORD SPESCKES ክፍት የሆኑ ትሪቶችን እንዲይዝ ፈቅደዋል.ምዝገባው ነገ ዛሬ ነው.
81,Don't worry edmonton tomorrow morning your main streets will be clear and ready for you to drive on !!!! I better go to Bed,positive,Admonnk ነገ ነገ ጠዋት ዋና ጎዳናዎችዎ ለማሽከርከር እና ለእርስዎ ዝግጁ ይሆናሉ !!!!እኔ ወደ መኝታ እሄዳለሁ
82,@amackin07 Love! I love all the episodes with Kristin Chenoweth (she plays April Rhodes). I'm a fan of hers (obviously) lol!,positive,@ Amackin07 ፍቅር!እኔ ከኪሪቲን ቼኮች ጋር ሁሉንም የትዕይንት ክፍሎች እወዳለሁ (ኤፕሪል ሮድስ ይጫወታል).እኔ የእራሱ አድናቂ ነኝ (ግልጽ) lol!
83,I just need to chill. Can't wait to unleash some aggression at Black Dahlia Murder tomorrow. #GonnaEndALife,negative,በቃ ማቅረቢያ እፈልጋለሁ.ነገ በጥቁር የዳህሊያ ግድያ ላይ የተወሰነ ጠመቂነትን ለመቀልበስ መጠበቅ አልተቻለም.#Gonnendyaly
84,Don't flirt with disaster! Get you tickets quick for MOLLY HATCHET at UNDERWORLD - 1 Dec http://t.co/GXoZhjOg,neutral,ከአደጋ አያሽጉ!ወደ ሞሊንግ ሴኬክ በፍጥነት እንዲለቁ ያድርጉ - 1 ዲሴም Sct.c.co/gcxo/gxoggg
85,Proper buzzing to watch The Vow with @_courtssx tomorrow;),positive,@_CortShassx ን ስእለቱን ለመመልከት ተገቢውን ማጭበርበር;)
86,"Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday, with investors waiting ... http://t.co/hbL19o43",negative,ከአሜሪካ ሥራዎች በፊት የወርቅ ጠርዞች ከፊት ለፊሊኖፖር (Singapore (Reourters) - አርብ አርብ ከሀብቶች ጋር በ httestorested ላይ ወርቅ ...
87,Today: The Last Two Wisconsin Recalls (For Now) http://t.co/nfMeJiE // Keep up the extraordinary work Wisconsin!,positive,ዛሬ: - የመጨረሻዎቹ ሁለት ዊስኮንሲን (ለአሁኑ) (ለአሁኑ) http://t.co/nfmejie // ያልተለመደ ሥራ Windsinsin ን ይቀጥሉ!
88,Drexel classes are cancelled monday and tuesday..now I just need work to be cancelled..,negative,Drrexel ትምህርቶች ሰኞ እና ማክሰኞ ተሰርዘዋል ... ወደ ተሰርዘዋል.
