ID,tweet,label,eng_translated
am_train_00039,ፍትህ በሌለበት ሀገር ደሞክራሲ አለ ማለት ህዝብን መዋሸት ነው፤ ኢትዮጵያ ውስጥ ከቀበሌ ሊቀመንበር እስከ ምንስቴር ያለው አመራር ቅናተኛና ቅመኛ ነው፤ ፍትህ ለስዳማ ምሁራን 5 ወር ሙሉ ያለጥፋታቸው ለታሰሩት !!!!!,negative,"There is no human democracy without justice.The guidance of the Kebe Chairperson in Ethiopia is a peacemaker and justified,Justice for 5 months of their full-yearly five months!"
am_train_00040,አብይ ይህን ደንባራ ሙታንታ ሳይታጠቅ አዲሳባ ከዛም ቤተመንግስት የገባን ሽፍታ ዘር ዎንበዴ ጥይት ሳይተኩስ መቀሌ ሸኝቷል…,negative,"Abii, without contrasting the dead, a bullet is shocked without the rash of the rash,"
am_train_00041,ከንቲባ ታከለ ዑማ በቢሮዎችና ማዘጋጃ ቤት ስር የሆኑ ተቋማትን ተጠሪነት ወደ ራሳቸው እያዞሩ ነው። የአለም ባንክና የከተማ ልማትና ቤቶች ሚኒስቴር ድርጊቱን ተቃውመዋል። Wazema…,negative,"The Mayor, agent, are applying for officers under office and municipal institutions.The Ministry of the World Bank and Urban Development and Housing Against the action.WAZEMA ..."
am_train_00042,በሊቢያ በጦር ማሰልጠኛ  ተቋም ላይ በደረሰ ጥቃት 30 ሰዎች ተገደሉ፡፡,negative,"At the attack on the military training facility, 30 people were killed."
am_train_00043,ድርጅቱ ከተቋቋመው አላማ ውጪ እየተንቀሳቀሰ ነው የሚል ዜና እንዳንሰማ?? እንዴት እኝህ የምያክል ጉመት ፖለቲከኛና የኢትዮጵያዊያን ህዝብ ተወዳጅ ከነፍሰበላው ጃ-…,negative,Well hear that the organization is moving out of the purpose of the organization ??How do you sleep young people from the politician and the Ethiopian public
am_train_00044,ዲኑ የቆየ ነው የምንሰማበት መልኩ እንዲህ መራራ መሆኑን ለማንሳት ነው,negative,The Din is so old that we hear such a bitterness
am_train_00045,እንደሱማ ከሆነ እናንተም ቦታ ላይኖራችሁ ነው,negative,"If it is like Summa, you will be in place"
am_train_00046,ይልቅ ለሶስተኛው የአለም ጦርነት እራስሽን አዘጋጅ አልሰማሁም እንዳትይ,negative,"Instead, I may not listen to the third world of world war"
am_train_00047,በዚ ዘመን ሰዉ ከገንክ ሚቆመዉ ለፎቶ ቢቻ ነዉ ቢገኝም  ከጎንክ ሚቆመዉም ከስንት አንዱ ነዉ,negative,"In this time, if the man's consent to the nagonic steamed, it is one of the greatest"
am_train_00048,የግል ቢሆን ኖሮ ግን ተደራድረው በሚያዋጣቸው ዋጋ ይሸጡ ነበር። 6,negative,"But if you were personal, the arrest was sold in the price of their price.6"
am_train_00049,በሙስሊሙ ጉዳይ የአብይ አህመድ አቋም በዚህ ከቀጠለ  ፣እመኑኝ ወያኔ የገባችበት ቅርቃር ውስጥ መግባቱ የማይቀር ነው።,negative,"If the Father's Ahmed's position continues in this, the Temporary Ahmed of the Father continues in this, trustworthy."
am_train_00050,መደመር የተንፈራጠጠ ሀሳብ ነው   ፕሮፌሰር መስፍን ወልደማርያም,negative,"A fragment of the idea that Professor, Professor, Maleada"
am_train_00051,እንዳንተ ያሉ በጋዜጠኛ ስም የሚሸረሙጡ ሴሌክቲቭ አታካቸውን ስንመለከት ለአገርና ሳይሆን ለጥቅም አሽከርነት የቆማቹ ህሊናቢስ እንደሆናቹ እንረዳለን:: እዚያዉ ካም…,negative,"When we look at a selective named by a journal name, we understand that they are a conscience, not a national conscience, but for an intellectuality.Be there in cam ..."
am_train_00052,ራስን የማግሰፍ ስልት ከልክ ስያልፍ ዉሸት መሆኑ ይታወቃል።እኔ ብቻ ነኝ የላቀ ሃሳብ ያለዉ ማለት በራሱ አምባገንነት ነዉ።የሚያገዳድልም የመንግስት ጀሌና ወ…,negative,Self-educating strategies are known to be overlooked falsehood. I only think that the foremost idea is a adequence
am_train_00053,ባሳለፍነው አርብ በኦሮሚያ ክልል ቄለም ወለጋ ዞን ሰዮ ወረዳ ጉቴ ሰዮማ ቀበሌ በሚኖሩ የአማራ ተወላጆች ላይ ታጣቂዎች 4 ሰዎች መግደላቸውን ሸሽስተው ወደ ደንቢዶሎ ከተ…,negative,"From the Amharamian region of Oromia Regional Council, 4 people from Amhara Kebele, from the Amhara Kebele, from Amhara Kebele, from ..."
am_train_00054,እኔ አልላክም ነበር,negative,I would not send
am_train_00055,በለው ! ታድያ  በኢትዮጵያ ሰላም ኣለ የተባለው  የት ኣለ?::,negative,"Say it!Heaven, where is peace and peace in Ethiopia?"
am_train_00056,ስራችሁ ሁሉ ክፋት መስሪ  ምን አይነት ስይጣን ነው የተጠናዉታችሁ  የገዛ ወገናችሁን ለማጋደል ቀንና ሌት የምትባዝኑት? እኔ አብሬ ያደግኳቸው ትግራዬች ደግና…,negative,What example of your work is the day and night of your work?My dreams are kind and kindly ...
am_train_00057,ባህር ዳር ከተማ ወሳኙን ተጫዋች በጉዳት ሊያጣ ነው,negative,"Bahir Dar, the key to the city is to lose injustice"
am_train_00058,ልክ ነው ሚሰማ ሰው አይደለም እኮ????????..,negative,Isn't it right?
am_train_00059,ክልል ላይ የእስልምና ጥላቻ እንደልብ እንዲጋልብ ባዶ ሜዳ ተለቆለታል። በባለሥልጣናትም ድጋፍ ይደረግለታል። ፍዳውን የሚከፍሉት ሙስሊም የአማራ ተወላጆች ናቸው። የገዛ ልጆቹን ቀርጥፎ የሚበላ ክ…,negative,The empty plain of Islamic hatred in the region.It is also supported by the authorities.The Muslim who pay the debt are the Amhara Natives.The jungle that brings down his own children ...
am_train_00060,እናቶቻችን ጎረቤት ጉድ እስኪል ድረስ ይገርፉን እና ልክ ሲያበቁ ሁለተኛ ትደግሚያትና እንዳሁኑ ነካ አድርጌ የምለቅሽ መስሎሻል ??,negative,"Do you think our mothers are threatened until the neighbor is dressed in a neighbor and ascend, do you seem to be a second leisure and touched ??"
am_train_00061,አረ ምንሼ? የአዲስ አበባ ወጣት ጠላሁ! ወጣት ማለት ከ50 በላይ ሆነ እንዴ ሳናውቀው? ሚሊኒየም አዳራሽ ውስጥ ዛሬ የጎልማሶች ስብሰባ ነበር ቢባል ይቀላል!,negative,What is my cup?I hated the Text of Addis!Young one more than 50 and you know it?It is easier to be called adult meeting in Millennium Hall!
am_train_00062,አንተ ቆሻሻ,negative,You filthy
am_train_00063,EBC ያልተገባ ተፅእኖ እያሳደረብን ነው...  የኢትዮጵያ ብሮድካስቲንግ ኮርፖሬሽን አስተዳደር በትግራኛ ቋንቋ ክፍል ላይ ያልተገባ ተጽእኖ እያሳደረ ነው ሲሉ የትግራኛ ክፍል ባልደረቦ…,negative,EBC is having an unnecessary impact ... The Ethiopian Broadcasting Corporation Administration is a well-term part of the Tituary
am_train_00064,እኔ አላምንም! ኧረ ቅሌት!,negative,I don't believe it!Uragraphy!
am_train_00065,አቃቤ ህግ መጥሪያ የሰጣቸውን ተጠርጣሪዎች  አንዳንድ ክልሎች አሳልፈው አይሰጡም- አንዳንዶቹ ጭራሽ ይሾሟቸዋል! እንዲህ አይነት የክልልና የፌዴራል ግኑኝንት ባለበት አገር ውስጥ አገር ሳይሆን የሚያ…,negative,The prosecutor's suspects do not give some regions: some will appoint them!Such a state of such a region and the Federal Income ...
am_train_00066,ወገኛ ??ሲያደርጉ ታይቶልኛል እንዳንተ አይነቱን መርዝ አንደኛ ቦልኬ ክብር አልሰጠውም ልክ ስትቦልከኝ በደንብ እንዳስነቀልኩክ ማረጋገጫዬ ስለሆነ እስክትነቅል ለራስህ ግ…,negative,Current?
am_train_00067,በደራ ያሉ አማራዎች መሥርያ ወደላይ እየተኮሱ ከጋ** ጋር ጦርነት ነው ምንፈልገው እያለ እየሸለሉ እየፎከሮ  ኦሮሞውን መውጫ መግብያ እያሳጡት ነው   የኦሮሞ ህዝብ በሁሉም አቅጣጫ ጦርነት…,negative,"Oromo people in all directions of the Oromo, while the abduction is the battle of the Oromo"
am_train_00068,በግድ የበታችነት ስሜት ይስማህ ነው? Sorry,negative,Do you feel inferior to murder?SORry
am_train_00069,እውነት አታፍርም የሶስተኛ ክፍል ተማሬ ይሄን አቀደ አለመ አሳካ ስትል ????የእስፖንሰር ድርቅ,negative,Truth Don't Despite This IMPLETS SEE SUCCESS
am_train_00070,እንዲህ ያለን ነጭ ውሸት በቴሌቪዥን ቀርቦ ማውራት? ድፍረቱን ከየት አመጣው?,negative,Such a White False Draw on TV?Where did you bring the courage?
am_train_00071,የሀገር ሽማግሌዎች በሕግ የበላይነት ካልታገዙ እነሱም የስርአተአልበኞች ተጠቂ ሲሀኑ እያየን ነው። አዛውንቶች የወጠጤዎች ጡጫና እርግጫ መለማመ…,negative,"If they do not serve the rule of law, the victims are the victim of the undergoers.The seniors adopted the fleet and phras"
am_train_00072,ድብቅ በጣም ብዙ ድሃ በጣም ብዙ ድሃ በጣም ብዙ ድሃ በጣም ብዙ ጊዜ በጣም ብዙ ጊዜ በጣም ብዙ ጊዜ በጣም ደካማ  በጣም ብዙ በጣም ብዙ ጊዜ በጣም ብዙ ድሃ በጣም ብዙ ድሃ በጣም ብ…,negative,Higgered so much poor so many poorly so much more
am_train_00073,አንተ ደግሞ ቶሎ የሚከፋህን ፀባይ እስካሁን አላሻሻልክም።,negative,You too did not improve your behavior yet.
am_train_00074,ስንቶቻችን ነን ባለፉት ሁለት ዓመታት ብቻ በመላ አገሪቱ 34 መስጊዶች መቃጠላቸውን የምናውቀው? ከ 34ቱ የተቃጠሉት መስጊዶች 21 የተቃጠሉት በአንድ ክልል (በአማራ ብሄራዊ ክልል) መሆናቸውንስ?,negative,How do we know that the mosques are throughout the country over the past two years?What are 21 of the 34 of the burned mosque were 21?
am_train_00075,በመንገድ ላይ:-  አዲስ አበባ ቆሻሻ እና ጉንፋናም ከተማ መሆኗ አያከራክርም። ቆሻሻ መንገድ ዳር ለመጣል የሚሳቀቁ ስልጡን ነዋሪ ቢሆኑ እንኯን የቆሻሻ መጣያ በአቅራቢያው መቸም አያገኙ…,negative,"On the street: Addis Ababa waste and the city and the city.If they are the garbage on the side of the garbage, do not get a garbage in nearby ..."
am_train_00076,ማን ፈቀደ ህዝብ ተወያይቶበታል? በቢሊዮን የሚቆጠር መሬትና የህዝብ ገንዘብ እየዘረፍክ ለፎቶ ከህዝብ በተሰበሰበው ገንዘብ ማንም ሳይፈቅድልህ ለምርጫ ስትል የህዝብን…,negative,"Who has been centered by the centered population?The civilian and public funding of billions of land and public cases, there is public ..."
am_train_00077,ችግር የለውም እሱን እዚሁ ማስተካከል ይቻላል ፤ ብሄር የለንም የሚሉት የራሳቸውን ፓርቲ ይፍጠሩ,negative,It's okay to hereby it can be adjusted here;Create their own party that they say
am_train_00078,እሺ! ሥምህን እና PPህን ቀይራ! አሥራት ወልደየሥ የአማራ ጎጠኛ ነበር!,negative,all right!Switching your name and PP!Tithing Woldom was a supervised!
am_train_00079,ሃሃሃሃ ዶማነትህ ከዚህ ነው የሚጀምረው እውነት የሚመስል ወሸት ያል…,negative,"Hahahahaha Divamm From This, it will begin to falsely ..."
am_train_00080,ውይይይ ምንድነው እንደ አሮጊት ካፕል ምትነዛነዙት?? ወደዛ ዶናት ግዛላት አቦ?????♂️,negative,What is the conversation as an old chief ??Abbah of that donuts? Doo ????
am_train_00081,ጭራቅ ከላይ እስከታች በአርቴፊሻል ብትሽሞኘሙኝም  እንደወረድሽ ነሽ?????? መጀመሪያ በራስሽ ኩሪ አፍሽን ከመክፈትሽ በፊት የሆንሽ ጨ ተገልብጣ ነገር,negative,"Do you know that the monster you have failed to have the top downwards ??????Early, the salt that you are first before you receive your own covenant"
am_train_00082,አዲሰ አበባ ሞጣ መሰለህ እንዴ??,negative,Don't you think new flower has been dead?
am_train_00083,ከክትክታ ወደ እስክስታ እንዴት እንደገባችሁ ገና አሁን እያነበብኩኝ ነው,negative,I'm still reading how you got to Pentecost
am_train_00084,???? ወዮ ይቺ ደግሞ የባሰባት ነው,negative,????Alas is also a fertile
am_train_00085,ኢብራሂም ቢያይህ «አንተን የጨቆኑህ ‹አልተጨቆንኩም› ብለህ እስክታምን ድረስ ነው› ብሎ ይገረምብህ ነበር! ??   የመብት መገፈፍ ምን እንደሆነ ካለመረዳት የመነጨ ነው ች…,negative,"Imitate you, ""I have not been oppressed,"" I have come to you! ""??It is the origin of being inaccessing what it is ..."
am_train_00086,አይ ሸገር!  አይ አዱ ገነት ?? በአንድ ከተማ ላይ በታክሲ የ3 ብር መንገድ ልዩነት አንዱ የክርስትና ልጅ አንዱ የእንጀራ ልጅ የሚሆንበት! አንዱ ካዛ ላይ የከፈለበትን የስብሰባ አዳ…,negative,"No Ihde!No I have a garden ??One of the 3 silver differences in a city, one Christian daughter of Christianity is a stepchildren!One of the Global Die ..."
am_train_00087,የመጨረሻ እስትንፋሳ እስኪያደርጉ ድረስ ከፍተኛ ሥቃይ ይሰማዎታል ፣ የደምዎ መስመር ይሰቃያል እናም ከሞተ በኋላ ወደ ሲኦል ዋሻዎች ይገባል። ከሠራው ኃጢአት…,negative,"When you make last breaths, you feel a great pain, your blood line suffers and enter the hell of hell after death.From his sin ..."
am_train_00088,Hahaha.....ሟርተኛ አትሁን እንጂ አቶ ያሬድ?  ገናን ሳላከብር  አታሟርትብኝ እንጂ?,negative,Hahaha ing ..... Don't Mr Yared?Don't you consult me while not honor Christmas?
am_train_00089,እሺ የሚስቶች ጠበቃ ነኝ አልሽሳ,negative,Okay I am a lawyer of wives
am_train_00090,ዳር ቆሞ የአንዱን ሃሳብ ከነእንከን ከማሞካሸት ወይም ከመተቸት መሃል ላይ ቆሞ የሁለቱንም አስተውሎ፣ መርምሮ እና አመዛዝኖ ከሁለቱም አሳማኝ ሃሳቦችን ወስዶ፣ አውዳሚዎችን ደግሞ ትቶ…,negative,"Country standing in the center of one's idea or by the center of one's idea, he or she has taken both persuasive ideas, and he leaves both persecutors."
am_train_00091,በእውነት ጾም ከባድ ነው??,negative,Is it really hard for fasting ??
am_train_00092,እንጀራ በህልሜ ብቻ እና ብቻ ነው የማየው  ሆድ ባሰኝ ሲበሎ ማየት በዩቱብ በፌስ ቡክ መንደር በቃ ብዙ አመታት አስቆጠርኩኝ እንጀራየ,negative,"Just in my dreams and only when I saw a bread, I have just had many years"
am_train_00093,ይሄ  ባራምባራስ የባልደራስ ምርጫው እስኪያል ቢያስሩትጥሩ ነበር  ሞር ዝነኛ ይሆናል,negative,This will be the name of Baramibras to see the choice of Barraus
am_train_00094,እርቀቱን ለማስረዳት ልደቱን ስናይ ጽንሰቱም ልደቱም በፍጹም ድንግልና ነው። እንደዚሁም ወደ መቃብር ከወረደ በኋላ ሲነሳ ድንጋይ አስነስቶ መግነዙን ፍቱልኝ ብሎ አደለም። በታሸገ መቃብ…,negative,"To illustrate his distance, the concepts and the centre is never a virgin.As a result, after he came down to the grave, he would be able to stone me and kill me.In a sealed grave ..."
am_train_00095,ፕሮፌሰር ኢሊችን የአመቱ በጎ ሰው ብሎ የሸለመ ሰው ለኔ ቅቤ ያጠጣኛል ብለህ ካሰብክ ተሳስተሃል። ቢመቸው መርዝ በጥብጦ ነው የሚያጠጣህ። ለዚያ አይሁድ ፕሮፌሰር እውቅና ሰጥቶ መ…,negative,"If you think a person who is a good man of the year, Professor Eilders, you are mistaken.If they think, the poison will drink.He credited professor for that Jewish d ..."
am_train_00096,ክፉ ምቀኛ,negative,Evil End
am_train_00097,የትራፊኮቹን ጉቦ መቀበልና እዝላልነት በሹፌሮች ብቻ ማሳበቡ ተገቢ አይደለም,negative,It is not appropriate to receive bribery and broadcast in spares only
am_train_00098,እቺናት እንግዴ የኛ ሃገር! ሌሎቹም ከህውሃት ጋር አብረው ሃገሪቷን ወደብ አልባ እንድትሆን ያስደረጉ ሲቀጥልም 49አመት ጫካ ውስጥ የቆዩ 1ዓመት ቢቆይ በአለም አቀ…,negative,"Certainly, my country of our country!The others continued to make the country homeless, and the 49-year jungle continues in the world ..."
am_train_00099,ድሮ አዲስ ነገር ላይ ስትፅፍ ጋዜጠኛ ትመስለኝ ነበር፤ ከቅርብ ግዜ ወዲህ ነው ነገረኛ መሆንህን ያወቁት ??,negative,"When I had been writing on something new, I looked like a journalist,Did you know that you have been a tent ??"
am_train_00100,ደብዳቤ ለአቶ ልደቱና ይልቃል ማለት ብቻ ነበር የቀራቸው።,negative,Letter only to say that he had been a name and slept.
am_train_00101,አብይ እነን የምሳዝነው አንተም ኦሮሞን ህዝብ ከዚህ በፊት ከከዱት ብዙ ይሁዲዎች ጋር መደመርህ ብቻ ሳይሆን አንተም ይሁዳ ሆነህ መገኘትህ ነው።  እግዝአብሐሄርም የስራህን ይ…,negative,"Abi, you are sorry that Oromon the people of the people are not only with many Judans who had ever betrayed many Juditors, but you too will be Judas.And alphagrath hath ..."
am_train_00102,በገዛ እጄ እጣ ፈንታዬ በል ውጣ።,negative,Get out my fate of my own hands.
am_train_00103,በኬኒያ የአሜሪካ ጦር ካምፕ ዛሬ በአል-ሸባብ ጥቃት ደረሰበት,negative,"In Kenya, the American Army Camp arrived in Al-Shabab"
am_train_00104,ባሌ ሰው ጠፋ። እንደ አሜባ ተበጣጥሶ ማለቁ ነው። ከዚህ በፊት ግማሽ ወረዳዎች ወደ አርሲ ታጥፈው እንደነበር የሚታወስ ነው።,negative,My husband disappeared.Embrace as an embarrassment.It is remembered that half circuits were gone to RC.
am_train_00105,ደግ ነገር ስለማንውድ፣ የቀናነት ችግር ስለአለብን፣ የተዛባ ክፋት ያረቀው ግንዛቤና ደንቆሮች ስለሆን ነው እንደአህያዋ ሥጋ አመዱ ብቻ የሚያሰኘን!,negative,"Because of what kindness, the problem of being unkind, is that we can only aside the fleshly, for his asses!"
am_train_00106,ሞጣ ላይ  ክርስቲያኑ ሱቁን ከፍቶ ሰራውን እየሰራ ሙስሊሙ አንገቱን ደፍቶ እያለቀሰ ይገኛል!!  እንደዚህ አይነት አሳፋሪ ጎረቤት ጋር መኖር ልብን ያደማል!!,negative,"On the mood, the Christian shop opened up and working on the Muslim who musculty is crying on his neck !!Living with such a shameful neighborhoods hearts !!"
am_train_00107,ድሮም እኮ ዳቦ መጥፊያችን ነው፤ ድፎ ሲሆን አስቡት ??,negative,The Red Tim is our destruction:Just think that it is ??
am_train_00108,ወይ ጉድ! አውቆ አብድ ነው ባክህ,negative,Etly!It's Obad
am_train_00109,ለዚህ poor ገገም ድንጋይ ራስ ካለበት ፎቅ መወርወሮ ብቻ ነበር የሚገባው። Another form of TPLF.,negative,It should only be downloaded from the head of the POor.Antimher form of TPLF.
am_train_00110,Someone stop me from usin የኢትዮጵያን ጽሑፍ በመጠቀም ፡፡ ከእንግዲህ አስቂኝ አይደለም። የአንተ አካል. ይጠፋል ፡፡ ወደፊት ደም ፡፡ መፍሰስ። በተስፋ መቁረጥዎ ውስጥ…,negative,SOMEONE STOP ME FROM USA FROM USAINING Ethiopia's text.It's no longer funny.Your body.Disappears.In the future blood.Flowing.In your despair ...
am_train_00111,መወለድ ነበረበት። ዛሬም በሃይማኖታዊ ዓለም ውስጥ የያዝነውን ስፍራና ስልጣን ወደ ጎን ትተን ወደ ጌታ ካልመጣን ዳግም ተወልደን የእግዚአብሔርን መንግስት ማየት አንችልም።,negative,"He had to be born.Today, we would be restored from the place and authority in the religious world and not see the kingdom of God."
